left_business_id,left_name,left_category,left_latitude,left_longitude,left_measurement_area,left_rating,left_review_count,left_price_level,left_is_open,left_success_score,left_env_sensitivity,left_env_bonus,left_business_success_score,left_performance_category,left_distance_from_center,left_location_grid,left_quadrant,left_category_rating_mean,left_category_rating_std,left_category_rating_count,left_category_rating_relative,left_category_review_count_mean,left_category_review_count_std,left_category_review_count_count,left_category_review_count_relative,left_rating_rank,left_rating_percentile,left_rating_quartile,left_rating_zscore,left_review_count_rank,left_review_count_percentile,left_review_count_quartile,left_review_count_zscore,left_business_success_score_rank,left_business_success_score_percentile,left_business_success_score_quartile,left_business_success_score_zscore,left_rating_volume_score,right_timestamp,right_latitude,right_longitude,right_street_name,right_temperature_celsius,right_humidity_percent,right_wind_speed_ms,right_air_quality_index,right_data_source,right_comfort_index,right_environmental_comfort_index,right_comfort_category,right_hour,right_day_of_week,right_month,right_quarter,right_is_weekend,right_is_business_hours,right_is_morning_rush,right_is_evening_rush,right_distance_from_center,right_location_grid,right_quadrant,right_heat_index,right_pollution_dispersion,spatial_distance_meters,join_type
BIZ_00001,Salon #1,salon,40.71416004118841,-74.00582725757279,Times Square Business District,4.1,51,2,True,0.76,0.5,0.05,0.798,Good,152.17739631594932,6,0,4.1,0.2,3,0.0,59.333333333333336,10.408329997330663,3,-0.8006407682562051,7.0,0.6451612903225806,Q3,0.19003450905501326,20.0,0.20967741935483872,Q1,-0.8110361849033947,17.0,0.4838709677419355,Q2,0.08300650239298493,16.20009924618385,2025-05-29 07:55:14.360572,40.7128,-74.006,Times Square Business District,24.3,43.3,0.9,76,multi_api_simulation,0.688,0.69,Good,7,3,5,2,0,0,1,0,0.0,6,0,34.8219,76.0,151.7,nearest_neighbor
BIZ_00002,Cafe #2,cafe,40.71263770418026,-74.0063073060509,Times Square Business District,4.7,81,2,True,0.885,0.9,0.09,0.882,Excellent,38.57580462791465,6,0,4.266666666666667,0.324037034920393,9,1.337295658401624,81.0,21.742814905158898,9,0.0,1.0,0.9838709677419355,Q4,1.7966899037928676,11.0,0.6129032258064516,Q3,0.11330652583209172,1.0,1.0,Q4,1.3544708096361162,20.711580462141992,2025-05-29 07:55:14.360572,40.7128,-74.006,Times Square Business District,24.3,43.3,0.9,76,multi_api_simulation,0.688,0.69,Good,7,3,5,2,0,0,1,0,0.0,6,0,34.8219,76.0,31.6,nearest_neighbor
BIZ_00003,Retail #3,retail,40.71395204938678,-74.0054764744445,Times Square Business District,3.6,42,2,True,0.669,0.6,0.06,0.738,Good,140.46201562651336,6,0,3.775,0.22173557826083432,4,-0.7892282938097515,57.75,14.430869689661812,4,-1.0914103119071958,12.0,0.11290322580645161,Q1,-1.1488449865598631,22.0,0.12903225806451613,Q1,-1.0883389981240406,25.0,0.1935483870967742,Q1,-0.8251822884949672,13.540320416496824,2025-05-29 07:55:14.360572,40.7128,-74.006,Times Square Business District,24.3,43.3,0.9,76,multi_api_simulation,0.688,0.69,Good,7,3,5,2,0,0,1,0,0.0,6,0,34.8219,76.0,135.4,nearest_neighbor
BIZ_00004,Fitness #4,fitness,40.713293355155216,-74.00769086423405,Times Square Business District,4.2,148,3,True,0.857,0.7,0.07,0.863,Excellent,195.51197201357215,6,0,4.2,,1,,148.0,,1,,6.0,0.7096774193548387,Q3,0.4578104081779902,1.0,1.0,Q4,2.177671913141345,4.0,0.9032258064516129,Q4,1.0668776925215981,21.01657448497093,2025-05-29 07:55:14.360572,40.7128,-74.006,Times Square Business District,24.3,43.3,0.9,76,multi_api_simulation,0.688,0.69,Good,7,3,5,2,0,0,1,0,0.0,6,0,34.8219,76.0,153.0,nearest_neighbor
BIZ_00005,Restaurant #5,restaurant,40.712357017963626,-74.00732709945196,Times Square Business District,4.3,78,2,True,0.819,0.8,0.08,0.84,Excellent,155.29792734615725,6,0,3.94,0.2716206504995115,10,1.3253778241241236,100.0,20.564262420249577,10,-1.0698171196083592,5.0,0.7580645161290323,Q3,0.7255863073009647,12.0,0.5806451612903226,Q3,0.020872254758543086,7.0,0.8064516129032258,Q4,0.7187386560145498,18.78862576560819,2025-05-29 07:55:14.360572,40.7128,-74.006,Times Square Business District,24.3,43.3,0.9,76,multi_api_simulation,0.688,0.69,Good,7,3,5,2,0,0,1,0,0.0,6,0,34.8219,76.0,122.5,nearest_neighbor
BIZ_00006,Salon #6,salon,40.71307249436306,-74.00602392287264,Times Square Business District,3.9,56,2,True,0.739,0.5,0.05,0.783,Good,30.363213934860536,6,0,4.1,0.2,3,-0.9999999500000012,59.333333333333336,10.408329997330663,3,-0.32025630730248217,9.0,0.3709677419354839,Q2,-0.345517289190937,19.0,0.2903225806451613,Q1,-0.6569790664474803,20.0,0.3870967741935484,Q2,-0.14404069532900313,15.767899944554745,2025-05-29 07:55:14.360572,40.7128,-74.006,Times Square Business District,24.3,43.3,0.9,76,multi_api_simulation,0.688,0.69,Good,7,3,5,2,0,0,1,0,0.0,6,0,34.8219,76.0,30.3,nearest_neighbor
BIZ_00007,Cafe #7,cafe,40.71300336097396,-74.00571662792679,Times Square Business District,3.9,51,2,True,0.732,0.9,0.09,0.778,Good,38.71584172288638,6,0,4.266666666666667,0.324037034920393,9,-1.1315578648013738,81.0,21.742814905158898,9,-1.3797661488202368,9.0,0.3709677419354839,Q2,-0.345517289190937,20.0,0.20967741935483872,Q1,-0.8110361849033947,22.0,0.3225806451612903,Q2,-0.2197230945696658,15.409850502467567,2025-05-29 07:55:14.360572,40.7128,-74.006,Times Square Business District,24.3,43.3,0.9,76,multi_api_simulation,0.688,0.69,Good,7,3,5,2,0,0,1,0,0.0,6,0,34.8219,76.0,32.9,nearest_neighbor
BIZ_00008,Cafe #8,cafe,40.759682371060535,-73.985532140758,Central Park Commercial Zone,4.4,98,2,True,0.863,0.9,0.27,0.862,Excellent,5678.265705433405,68,3,4.266666666666667,0.324037034920393,9,0.41147558720050076,81.0,21.742814905158898,9,0.7818674843314676,4.0,0.8387096774193549,Q4,0.9933622064239417,7.0,0.7419354838709677,Q3,0.6371007285822007,5.0,0.8709677419354839,Q4,1.0517412126734655,20.218527340592196,2025-05-29 07:55:14.461589,40.7589,-73.9851,Central Park Commercial Zone,20.4,53.0,0.9,54,multi_api_simulation,0.838,0.81,Excellent,7,3,5,2,0,0,1,0,5618.420455963907,68,3,31.211999999999996,54.0,94.2,nearest_neighbor
BIZ_00009,Retail #9,retail,40.757828973633465,-73.98322658715622,Central Park Commercial Zone,4.1,77,2,True,0.79,0.6,0.18,0.819,Excellent,5601.087715874984,68,3,3.775,0.22173557826083432,4,1.4657096885038245,57.75,14.430869689661812,4,1.3339459367754616,7.0,0.6451612903225806,Q3,0.19003450905501326,13.0,0.5483870967741935,Q3,-0.009939168932639793,12.0,0.6451612903225806,Q3,0.4008725792037665,17.862506189427325,2025-05-29 07:55:14.461589,40.7589,-73.9851,Central Park Commercial Zone,20.4,53.0,0.9,54,multi_api_simulation,0.838,0.81,Excellent,7,3,5,2,0,0,1,0,5618.420455963907,68,3,31.211999999999996,54.0,197.9,nearest_neighbor
BIZ_00010,Bank #10,bank,40.758161872251996,-73.98487293841706,Central Park Commercial Zone,3.0,15,1,True,0.506,0.2,0.06,0.586,Average,5554.496104555565,68,3,3.0,,1,,15.0,,1,,14.0,0.03225806451612903,Q1,-2.755500381297716,25.0,0.03225806451612903,Q1,-1.9202474377859784,30.0,0.03225806451612903,Q1,-3.125927225411111,8.317766166719343,2025-05-29 07:55:14.461589,40.7589,-73.9851,Central Park Commercial Zone,20.4,53.0,0.9,54,multi_api_simulation,0.838,0.81,Excellent,7,3,5,2,0,0,1,0,5618.420455963907,68,3,31.211999999999996,54.0,84.2,nearest_neighbor
